"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LED1,LED4";"LED_0805";2;"GREEN";;;
2;"R1,R4";"R_0805";2;"33";;;
3;"LED2,LED3";"LED_0805";2;"RED";;;
4;"R2,R3";"R_0805";2;"47";;;
5;"J10,J11";"Pin_Header_Straight_1x02";2;"Pin_Header_Straight_1x02";;;
6;"G***";"For_Love_&_Drones_No_Text";1;"LOGO";;;
7;"G***,G***";"oFb";2;"LOGO";;;
8;"G***";"Flying_Badgers_300x300";1;"LOGO";;;
9;"G***";"LimeAndPepper";1;"LOGO";;;
10;"J5,J6,J2,J4,J3,J2,J3,J4,J5,J6";"Wire_Pads_1x2_4x3mm";10;"Conn_01x02_Male";;;
11;"J1";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Conn_02x05_Odd_Even";;;
12;"J9,J8,J7";"Pin_Header_Straight_1x02_Pitch2.54mm";3;"Conn_02x01";;;
13;"G***";"serenity_12x10mm_Silk";1;"LOGO";;;
14;"G***";"PCBway_1500x1500";1;"LOGO";;;
