Ref,Val,Package,PosX,PosY,Rot,Side
"C15","0.1uF","C_0805",95.406000,-148.818000,135.000000,bottom
"C16","0.1uF","C_0805",154.842000,-149.326000,225.000000,bottom
"C17","0.1uF","C_0805",94.500000,-88.750000,45.000000,bottom
"C18","0.1uF","C_0805",155.858000,-89.382000,315.000000,bottom
"C19","0.1uF","C_0805",88.802000,-156.438000,135.000000,bottom
"C20","0.1uF","C_0805",161.954000,-156.946000,225.000000,bottom
"C21","0.1uF","C_0805",86.770000,-81.254000,45.000000,bottom
"C22","0.1uF","C_0805",164.494000,-81.762000,315.000000,bottom
"C23","0.1uF","C_0805",80.674000,-163.550000,135.000000,bottom
"C24","0.1uF","C_0805",170.082000,-164.566000,225.000000,bottom
"C25","0.1uF","C_0805",80.166000,-74.650000,45.000000,bottom
"C26","0.1uF","C_0805",172.622000,-74.142000,315.000000,bottom
"C27","0.1uF","C_0805",73.054000,-170.662000,135.000000,bottom
"C28","0.1uF","C_0805",178.718000,-172.694000,225.000000,bottom
"C29","0.1uF","C_0805",73.562000,-67.538000,45.000000,bottom
"C30","0.1uF","C_0805",180.750000,-66.522000,315.000000,bottom
"R21","300","R_0805",98.800113,-83.765157,0.000000,bottom
"U9","WS2812B","LED_WS2812B-PLCC4_LG_PADS",92.358000,-152.882000,135.000000,bottom
"U10","WS2812B","LED_WS2812B-PLCC4_LG_PADS",158.398000,-152.882000,225.000000,bottom
"U11","WS2812B","LED_WS2812B-PLCC4_LG_PADS",90.326000,-84.810000,45.000000,bottom
"U12","WS2812B","LED_WS2812B-PLCC4_LG_PADS",159.922000,-85.826000,315.000000,bottom
"U13","WS2812B","LED_WS2812B-PLCC4_LG_PADS",85.246000,-159.486000,135.000000,bottom
"U14","WS2812B","LED_WS2812B-PLCC4_LG_PADS",166.018000,-160.502000,225.000000,bottom
"U15","WS2812B","LED_WS2812B-PLCC4_LG_PADS",83.722000,-77.698000,45.000000,bottom
"U16","WS2812B","LED_WS2812B-PLCC4_LG_PADS",168.558000,-78.714000,315.000000,bottom
"U17","WS2812B","LED_WS2812B-PLCC4_LG_PADS",77.118000,-167.106000,135.000000,bottom
"U18","WS2812B","LED_WS2812B-PLCC4_LG_PADS",174.654000,-168.630000,225.000000,bottom
"U19","WS2812B","LED_WS2812B-PLCC4_LG_PADS",77.118000,-71.094000,45.000000,bottom
"U20","WS2812B","LED_WS2812B-PLCC4_LG_PADS",176.178000,-71.094000,315.000000,bottom
"U21","WS2812B","LED_WS2812B-PLCC4_LG_PADS",69.498000,-174.218000,135.000000,bottom
"U22","WS2812B","LED_WS2812B-PLCC4_LG_PADS",182.274000,-176.250000,225.000000,bottom
"U23","WS2812B","LED_WS2812B-PLCC4_LG_PADS",70.260000,-64.490000,45.000000,bottom
"U24","WS2812B","LED_WS2812B-PLCC4_LG_PADS",184.814000,-63.474000,315.000000,bottom
"X1","Badgelife_shitty_connector","Socket_Strip_Straight_2x02_Pitch2.54mm_SMD",126.629113,-122.132157,0.000000,bottom
