Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805",128.675000,-80.325000,0.000000,top
"C2","22pF","C_0805",108.550000,-99.850000,270.000000,top
"C3","22pF","C_0805",108.650000,-91.900000,90.000000,top
"C4","100nF","C_0805",115.800000,-86.450000,0.000000,top
"C5","1uF","C_0805",122.050000,-87.600000,180.000000,top
"C6","100nF","C_0805",133.500000,-93.600000,0.000000,top
"C7","10uF","C_0805",149.085300,-95.694500,0.000000,top
"C8","1uF","C_0805",132.200000,-100.800000,90.000000,top
"C9","1uF","C_0805",116.250000,-92.300000,90.000000,top
"C10","1uF","C_0805",129.150000,-87.950000,0.000000,top
"C11","1uF","C_0805",150.939500,-92.392500,270.000000,top
"C12","10uF","C_0805",141.909800,-92.417900,90.000000,top
"C13","10uF","C_0805",139.865100,-92.405200,90.000000,top
"C14","0.1uF","C_0805",149.654113,-100.982157,0.000000,top
"C31","10uF","C_0805",122.200000,-160.800000,270.000000,top
"C32","10uF","C_0805",123.100000,-163.600000,0.000000,top
"D1","RX","LED_0805",117.500000,-79.000000,180.000000,top
"D2","TX","LED_0805",117.500000,-81.000000,180.000000,top
"D3","PWR","LED_0805",158.695000,-92.620500,0.000000,top
"D4","LED","LED_0805",111.641500,-106.082500,0.000000,top
"F1","Fuse","Fuse_SMD2920",148.654113,-86.707157,180.000000,top
"J1","USB_OTG","USB_Micro-B_10103594-0001LF",124.362000,-75.602500,180.000000,top
"L1","L","L_0805",133.450000,-91.600000,180.000000,top
"R1","22","R_0805",123.600000,-81.300000,90.000000,top
"R2","22","R_0805",125.600000,-81.300000,90.000000,top
"R3","10K","R_0805",115.850000,-88.400000,0.000000,top
"R4","1M","R_0805",116.250000,-95.850000,90.000000,top
"R5","100","R_0805",148.869400,-92.379800,270.000000,top
"R6","10K","R_0805",129.650000,-104.000000,180.000000,top
"R7","1K","R_0805",111.529113,-76.057157,180.000000,top
"R8","1K","R_0805",111.504113,-78.057157,180.000000,top
"R9","1K","R_0805",158.398000,-94.525500,180.000000,top
"R12","1K","R_0805",115.347500,-106.082500,0.000000,top
"R13","1K","R_0805",105.848613,-169.934657,180.000000,top
"R14","1K","R_0805",111.373113,-171.966657,180.000000,top
"R15","1K","R_0805",118.358113,-171.395157,180.000000,top
"R16","1K","R_0805",125.216113,-171.395157,180.000000,top
"R17","1K","R_0805",131.248613,-171.204657,180.000000,top
"R18","1K","R_0805",137.535113,-171.077657,180.000000,top
"R19","1K","R_0805",142.742113,-168.283657,225.000000,top
"R20","1M","R_0805",145.050000,-164.950000,90.000000,top
"R22","0","R_0805",143.254113,-99.882157,0.000000,top
"R23","0","R_0805",140.929113,-102.832157,90.000000,top
"SW2","ARD_SW","SW_SPDT_PCM12",165.004113,-89.532157,47.200000,top
"U1","ATMEGA32U4-AU","TQFP-44_10x10mm_Pitch0.8mm",124.400000,-96.150000,270.000000,top
"U2","TPS63002","VSON-10-1EP_3x3mm_Pitch0.5mm_ThermalPad",145.214900,-92.373700,90.000000,top
"U3","AZ1117-3.3","SOT-223_edit",116.002000,-162.600000,90.000000,top
