Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,manf#
1,,C_Small,C4 C6 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30,100nF,C_0805,19,,885012207053 885012207060 885012207049 885012207045 885012207056 885012207046 885012207050 885012207057 885012207047 885012207051 885012207054 885012207058 885012207048 885012207052 885012207055 885012207059
2,,C_Small,C1 C7 C12 C13,10uF,C_0805,4,,
3,,C_Small,C5 C8 C9 C10 C11,1uF,C_0805,5,,
4,,C_Small,C2 C3,22pF,C_0805,2,,
5,,LED,D4,L,LED_0805,1,,150080YS75000
6,,LED,D3,PWR,LED_0805,1,,150080YS75000
7,,LED,D1,RX,LED_0805,1,,150080YS75000
8,,LED,D2,TX,LED_0805,1,,150080YS75000
9,,Fuse,F1,Fuse,Fuse_SMD2920,1,,2920L500/16MR
10,,Conn_01x02,J4,BtmL,Wire_Pads_1x2_4x3mm_Extended,1,,
11,,Conn_01x02,J5,BtmR,Wire_Pads_1x2_4x3mm_Extended,1,,
12,,Conn_02x05,J7,Flight Controller Board,Socket_Strip_Straight_2x05_Pitch2.54mm,1,,
13,,Conn_01x02,J2,LiPo,JST_PH_S2B-PH-K_02x2.00mm_Angled,1,,
14,,Conn_01x03,J8,SPI,Pin_Header_Straight_1x03_Pitch2.54mm,1,,
15,,Conn_01x02,J6,TopL,Wire_Pads_1x2_4x3mm_Extended,1,,
16,,Conn_01x02,J3,TopR,Wire_Pads_1x2_4x3mm_Extended,1,,
17,,USB_OTG,J1,USB_OTG,USB_Micro-B_10103594-0001LF,1,,10103594-0001LF
18,,L,L2,2.2uH,VLF4012A,1,,VLF4012AT-2R2M1R5
19,,L,L1,L,L_0805,1,,BLM21AG601SN1D
20,,Speaker_Crystal,LS1,Speaker_Crystal,piezo_KJL_1325,1,,KLJ-1325
21,,R,R5,100,R_0805,1,,
22,,R,R3 R6,10K,R_0805,2,,
23,,R,R7 R8 R9 R12 R13 R14 R15 R16 R17 R18 R19,1K,R_0805,11,,
24,,R,R4 R10 R20,1M,R_0805,3,,
25,,R,R1 R2,22,R_0805,2,,
26,,R,R11,2M,R_0805,1,,
27,,R,R21,300,R_0805,1,,RC0805JR-07300RL
28,,SW_SPDT,SW2,ARD_SW,switch_MHSS1105,1,,MHSS1105
29,,SW_SPDT,SW3,FLT CTRL SW,switch_MHSS1105,1,,MHSS1105
30,,SW_Push,SW1,RESET,smd_push,1,,MJTP1106STR
31,,SW_Push,SW4 SW5 SW6 SW7 SW8 SW9,SW_Push,smd_push,6,,MJTP1106STR
32,"TQFP44, 16K Flash, 1.25K SRAM, 512B EEPROM, USB2.0",ATMEGA32U4-AU,U1,ATMEGA32U4-AU,TQFP-44_10x10mm_Pitch0.8mm,1,http://www.atmel.com/images/atmel-7766-8-bit-avr-atmega16u4-32u4_%20datasheet.pdf,ATMEGA32U4-AUR
33,,TPS63001,U2,TPS63001,VSON-10-1EP_3x3mm_Pitch0.5mm_ThermalPad,1,,TPS63002DRCT
34,,WS2812B,U9 U10 U11 U12 U13 U14 U15 U16 U17 U18 U19 U20 U21 U22 U23 U24,WS2812B,LED_WS2812B-PLCC4,16,,1655
35,,Conn_02x02,X1,Badgelife_shitty_connector,Socket_Strip_Straight_2x02_Pitch2.54mm,1,,
36,,Arduino_Uno_Shield,XA1,Arduino_Uno_Shield,"UNO_headersICSP: (2) Socket_Strip 1x08, (1) Socket_Strip 1x06, (1) Socket_Strip 1x10, (1) Header_Pins 02x03",1,,
37,,Crystal,Y1,16MHz,Q_49U3HMS,1,,ABLS-16.000MHZ-B4-T
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Component Groups:,39,,,,,,,
Component Count:,99,,,,,,,
Fitted Components:,99,,,,,,,
Number of PCBs:,1,,,,,,,
Total components:,99,,,,,,,
Schematic Version:,V0,,,,,,,
Schematic Date:,5/14/18,,,,,,,
BoM Date:,"Monday, June 11, 2018 'PMt' 04:22:07 PM",,,,,,,
Schematic Source:,/Users/rscote/Dropbox/DC26/FlyingSkull/gitlab/Skull_badge_V2/Skull_badge.sch,,,,,,,
KiCad Version:,Eeschema 4.0.7,,,,,,,
